platform,name,link,start_time,duration,status,duration_minutes,end_time,scraped_at
Codeforces,Codeforces Round (Div. 1 + Div. 2),https://codeforces.com/contest/2122,2025-07-19 14:35:00,02:30,BEFORE,150,2025-07-19 17:05:00,2025-06-30 11:08:47
Codeforces,Codeforces Round (Div. 1 + Div. 2),https://codeforces.com/contest/2124,2025-07-06 14:35:00,03:00,BEFORE,180,2025-07-06 17:35:00,2025-06-30 11:08:47
Codeforces,Codeforces Round (Div. 2),https://codeforces.com/contest/2119,2025-07-05 14:35:00,02:00,BEFORE,120,2025-07-05 16:35:00,2025-06-30 11:08:47
Codeforces,Codeforces Round 1034 (Div. 3),https://codeforces.com/contest/2123,2025-07-01 14:35:00,02:15,BEFORE,135,2025-07-01 16:50:00,2025-06-30 11:08:47
Codeforces,Codeforces Round 1033 (Div. 2) and CodeNite 2025,https://codeforces.com/contest/2120,2025-06-21 14:35:00,02:00,FINISHED,120,2025-06-21 16:35:00,2025-06-30 11:08:47
Codeforces,Codeforces Round 1031 (Div. 2),https://codeforces.com/contest/2113,2025-06-15 09:05:00,02:00,FINISHED,120,2025-06-15 11:05:00,2025-06-30 11:08:47
Codeforces,Codeforces Round 1030 (Div. 2),https://codeforces.com/contest/2118,2025-06-12 14:35:00,02:00,FINISHED,120,2025-06-12 16:35:00,2025-06-30 11:08:47
Codeforces,Codeforces Round 1028 (Div. 1),https://codeforces.com/contest/2115,2025-05-31 14:35:00,02:00,FINISHED,120,2025-05-31 16:35:00,2025-06-30 11:08:47
Codeforces,Codeforces Round 1028 (Div. 2),https://codeforces.com/contest/2116,2025-05-31 14:35:00,02:00,FINISHED,120,2025-05-31 16:35:00,2025-06-30 11:08:47
Codeforces,Codeforces Round 1026 (Div. 2),https://codeforces.com/contest/2110,2025-05-24 14:35:00,02:00,FINISHED,120,2025-05-24 16:35:00,2025-06-30 11:08:47
Codeforces,Codeforces Round 1025 (Div. 2),https://codeforces.com/contest/2109,2025-05-17 14:35:00,02:15,FINISHED,135,2025-05-17 16:50:00,2025-06-30 11:08:47
Codeforces,Codeforces Round 1024 (Div. 1),https://codeforces.com/contest/2101,2025-05-11 14:35:00,02:30,FINISHED,150,2025-05-11 17:05:00,2025-06-30 11:08:47
Codeforces,Codeforces Round 1024 (Div. 2),https://codeforces.com/contest/2102,2025-05-11 14:35:00,02:30,FINISHED,150,2025-05-11 17:05:00,2025-06-30 11:08:47
Codeforces,Codeforces Round 1023 (Div. 2),https://codeforces.com/contest/2107,2025-05-05 14:35:00,02:15,FINISHED,135,2025-05-05 16:50:00,2025-06-30 11:08:47
Codeforces,Codeforces Round 1022 (Div. 2),https://codeforces.com/contest/2108,2025-05-01 14:35:00,02:00,FINISHED,120,2025-05-01 16:35:00,2025-06-30 11:08:47
Codeforces,Codeforces Round 1021 (Div. 1),https://codeforces.com/contest/2097,2025-04-26 08:35:00,03:00,FINISHED,180,2025-04-26 11:35:00,2025-06-30 11:08:47
Codeforces,Codeforces Round 1021 (Div. 2),https://codeforces.com/contest/2098,2025-04-26 08:35:00,03:00,FINISHED,180,2025-04-26 11:35:00,2025-06-30 11:08:47
