2025-07-02 22:53:06 [__main__] [INFO] [notification1.py:37]  初始化通知管理器，操作系统: Windows
2025-07-02 22:53:06 [__main__] [INFO] [notification1.py:41]  创建临时目录: C:\Users\gq\AppData\Local\Temp\oj_notifier_iszooi8b
2025-07-02 22:53:06 [WeChatManager] [INFO] [notification1.py:632]  数据库初始化完成: wechat_groups.db
2025-07-02 22:53:06 [__main__] [INFO] [notification1.py:89]  已清理临时目录: C:\Users\gq\AppData\Local\Temp\oj_notifier_iszooi8b
2025-07-02 22:53:20 [__main__] [INFO] [notification1.py:37]  初始化通知管理器，操作系统: Windows
2025-07-02 22:53:20 [__main__] [INFO] [notification1.py:41]  创建临时目录: C:\Users\gq\AppData\Local\Temp\oj_notifier_0ck72knd
2025-07-02 22:53:20 [WeChatManager] [INFO] [notification1.py:632]  数据库初始化完成: wechat_groups.db
2025-07-02 22:53:20 [__main__] [INFO] [notification1.py:89]  已清理临时目录: C:\Users\gq\AppData\Local\Temp\oj_notifier_0ck72knd
2025-07-02 23:00:46 [__main__] [INFO] [notification1.py:37]  初始化通知管理器，操作系统: Windows
2025-07-02 23:00:46 [__main__] [INFO] [notification1.py:41]  创建临时目录: C:\Users\gq\AppData\Local\Temp\oj_notifier_gc_k7u41
2025-07-02 23:00:46 [WeChatManager] [INFO] [notification1.py:632]  数据库初始化完成: wechat_groups.db
2025-07-02 23:00:46 [WeChatManager] [INFO] [notification1.py:608]  微信通知管理器初始化完成
2025-07-02 23:00:46 [WeChatManager] [ERROR] [notification1.py:868]  加载定时消息失败: no such column: status
2025-07-02 23:00:46 [__main__] [INFO] [notification1.py:121]  已发送通知: 系统测试
2025-07-02 23:00:46 [__main__] [INFO] [notification1.py:195]  为Windows创建定时通知: 定时通知测试
2025-07-02 23:00:46 [__main__] [INFO] [notification1.py:288]  已创建Windows定时任务: OJNotifier_1751468446_test_event
2025-07-02 23:00:46 [WeChatManager] [INFO] [notification1.py:703]  已添加/更新微信群: 信息测试
2025-07-02 23:00:46 [WeChatManager] [ERROR] [notification1.py:648]  检查微信运行状态失败: name 'gw' is not defined
2025-07-02 23:00:46 [root] [WARNING] [notification1.py:977]  微信客户端未运行，跳过微信通知测试
2025-07-02 23:03:59 [__main__] [INFO] [notification1.py:37]  初始化通知管理器，操作系统: Windows
2025-07-02 23:03:59 [__main__] [INFO] [notification1.py:41]  创建临时目录: C:\Users\gq\AppData\Local\Temp\oj_notifier_vdb5x74v
2025-07-02 23:03:59 [WeChatManager] [INFO] [notification1.py:632]  数据库初始化完成: wechat_groups.db
2025-07-02 23:03:59 [WeChatManager] [INFO] [notification1.py:608]  微信通知管理器初始化完成
2025-07-02 23:03:59 [WeChatManager] [ERROR] [notification1.py:868]  加载定时消息失败: no such column: status
2025-07-02 23:03:59 [__main__] [INFO] [notification1.py:121]  已发送通知: 系统测试
2025-07-02 23:03:59 [__main__] [INFO] [notification1.py:195]  为Windows创建定时通知: 定时通知测试
2025-07-02 23:03:59 [__main__] [INFO] [notification1.py:288]  已创建Windows定时任务: OJNotifier_1751468639_test_event
2025-07-02 23:03:59 [WeChatManager] [INFO] [notification1.py:703]  已添加/更新微信群: 信息测试
2025-07-02 23:03:59 [WeChatManager] [ERROR] [notification1.py:648]  检查微信运行状态失败: name 'gw' is not defined
2025-07-02 23:03:59 [WeChatManager] [WARNING] [notification1.py:763]  微信客户端未运行，无法发送消息
2025-07-02 23:04:10 [WeChatManager] [INFO] [notification1.py:877]  微信通知管理器已关闭
2025-07-02 23:04:10 [__main__] [INFO] [notification1.py:89]  已清理临时目录: C:\Users\gq\AppData\Local\Temp\oj_notifier_vdb5x74v
2025-07-02 23:04:10 [__main__] [INFO] [notification1.py:89]  已清理临时目录: C:\Users\gq\AppData\Local\Temp\oj_notifier_vdb5x74v
2025-07-02 23:04:10 [WeChatManager] [INFO] [notification1.py:877]  微信通知管理器已关闭
2025-07-02 23:04:10 [__main__] [INFO] [notification1.py:89]  已清理临时目录: C:\Users\gq\AppData\Local\Temp\oj_notifier_gc_k7u41
2025-07-02 23:04:10 [__main__] [INFO] [notification1.py:89]  已清理临时目录: C:\Users\gq\AppData\Local\Temp\oj_notifier_gc_k7u41
2025-07-02 23:06:19 [__main__] [INFO] [notification1.py:37]  初始化通知管理器，操作系统: Windows
2025-07-02 23:06:19 [__main__] [INFO] [notification1.py:41]  创建临时目录: C:\Users\gq\AppData\Local\Temp\oj_notifier_g9qchxqe
2025-07-02 23:06:19 [WeChatManager] [INFO] [notification1.py:632]  数据库初始化完成: wechat_groups.db
2025-07-02 23:06:19 [WeChatManager] [INFO] [notification1.py:608]  微信通知管理器初始化完成
2025-07-02 23:06:19 [WeChatManager] [ERROR] [notification1.py:868]  加载定时消息失败: no such column: status
2025-07-02 23:06:19 [__main__] [INFO] [notification1.py:121]  已发送通知: 系统测试
2025-07-02 23:06:19 [__main__] [INFO] [notification1.py:195]  为Windows创建定时通知: 定时通知测试
2025-07-02 23:06:19 [__main__] [INFO] [notification1.py:288]  已创建Windows定时任务: OJNotifier_1751468779_test_event
2025-07-02 23:06:19 [__main__] [INFO] [notification1.py:37]  初始化通知管理器，操作系统: Windows
2025-07-02 23:06:19 [__main__] [INFO] [notification1.py:41]  创建临时目录: C:\Users\gq\AppData\Local\Temp\oj_notifier_mw_el2b0
2025-07-02 23:06:19 [WeChatManager] [INFO] [notification1.py:632]  数据库初始化完成: wechat_groups.db
2025-07-02 23:06:19 [WeChatManager] [INFO] [notification1.py:608]  微信通知管理器初始化完成
2025-07-02 23:06:19 [WeChatManager] [ERROR] [notification1.py:868]  加载定时消息失败: no such column: status
2025-07-02 23:06:19 [__main__] [INFO] [notification1.py:121]  已发送通知: 系统测试
2025-07-02 23:06:19 [__main__] [INFO] [notification1.py:195]  为Windows创建定时通知: 定时通知测试
2025-07-02 23:06:19 [__main__] [INFO] [notification1.py:288]  已创建Windows定时任务: OJNotifier_1751468779_test_event
2025-07-02 23:06:19 [WeChatManager] [INFO] [notification1.py:703]  已添加/更新微信群: 信息测试
2025-07-02 23:06:19 [WeChatManager] [ERROR] [notification1.py:648]  检查微信运行状态失败: name 'gw' is not defined
2025-07-02 23:06:19 [WeChatManager] [WARNING] [notification1.py:763]  微信客户端未运行，无法发送消息
2025-07-02 23:07:29 [WeChatManager] [INFO] [notification1.py:877]  微信通知管理器已关闭
2025-07-02 23:07:29 [__main__] [INFO] [notification1.py:89]  已清理临时目录: C:\Users\gq\AppData\Local\Temp\oj_notifier_mw_el2b0
2025-07-02 23:07:29 [__main__] [INFO] [notification1.py:89]  已清理临时目录: C:\Users\gq\AppData\Local\Temp\oj_notifier_mw_el2b0
2025-07-02 23:07:30 [WeChatManager] [INFO] [notification1.py:877]  微信通知管理器已关闭
2025-07-02 23:07:30 [__main__] [INFO] [notification1.py:89]  已清理临时目录: C:\Users\gq\AppData\Local\Temp\oj_notifier_g9qchxqe
2025-07-02 23:07:30 [__main__] [INFO] [notification1.py:89]  已清理临时目录: C:\Users\gq\AppData\Local\Temp\oj_notifier_g9qchxqe
